,Unnamed: 0,Star_name,Distance,Mass,Radius
0,0,SDSS J000013.54+255418.6 [de],46.1,48,0.99
1,1,2MASS J00040288-6410358,192.0,19,1.63
2,2,LHS 102BC,,,
3,3,2MASS J00242463-0158201,37.7,79,1.09
4,4,2MASS J00250365+4759191AB,143.0,,
5,5,2MASS J00274197+0503417,236.0,31,1.44
6,6,2MASS J00275592+2219328,46.9,,
7,7,2MASSW J0030300-145033,87.2,54,0.98
8,8,2MASS J00332386-1521309 [de],131.0,29,1.43
9,9,2MASS J00345157+0523050,31.0,42,0.94
10,10,2MASS 0036+1821,28.6,42,0.94
11,11,2MASSW J0045214+163445,57.0,23,1.62
12,12,WISEP J004701.06+680352.1 [fr],40.0,12,1.3
13,13,2MASS J00501994-3322402 [de],34.0,40,0.94
14,14,2MASS J00034227-2822410,,,
15,15,2MASS J00584253-0651239 [de],96.0,29,1.43
16,16,CFBDS J005910.90–011401.3,30.0,23,
17,17,2MASSI J0103320+193536,70.0,52,0.98
18,18,SDSSp J010752.33+004156.1 [de],51.0,52,0.98
19,19,2MASSI J0117474-340325 [de],163.0,20,1.62
20,20,2MASS J01415823-4633574 [de],130.0,20,1.61
21,21,SDSS J015141.69+124429.6,70.0,47,0.97
22,22,DENIS-P J020529.0−115925A,65.0,,
23,23,DENIS-P J020529.0−115925B,65.0,,
24,24,DENIS-P J020529.0−115925C,65.0,,
25,25,SDSS J020742.48+000056.2 [de],111.0,47,0.97
26,26,2MASS J02103857-3015313,101.0,15,1.53
27,27,2MASS J02340093-6442068,155.0,20,1.62
28,28,2MASS J02411151-0326587 [de],152.0,27,1.41
29,29,2MASS J02431371−2453298,35.0,33,0.99
30,30,LP 771-21,53.0,78,1.08
31,31,2MASS J02511327+0047364,,,
32,32,Teegarden's star,12.578,80,1.27
33,33,2MASS J02535980+3206373,184.0,65,1.9
34,34,WISE J0254+0223,24.0,65,1.9
35,35,DEN 0255-4700,16.2,80,0.97
36,36,2MASS J03185403-3421292 [de],45.0,49,0.97
37,37,2MASS J03205965+1854233,47.0,88,1.15
38,38,2MASS J03231002-4631237,192.0,23,1.66
39,39,SDSS J032553.17+042540.1,59.0,45,0.95
40,40,2MASS J03264225-2102057 [de],80.0,18,1.3
41,41,2MASS J03284265+2302051 [de],98.0,54,0.98
42,42,2MASS J03341218-4953322,27.0,73,1.04
43,43,LP 944-20,20.9,73,1.43
44,44,2MASP J0345432+254023,88.0,74,1.05
45,45,Teide 1,380.0,55,3.78
46,46,2MASS J03510004-0052452,48.0,102,1.27
47,47,2MASS J03552337+1133437,29.8,20,1.32
48,48,DENIS-P J035726.9-441730 [de],130.0,,
49,49,2MASS J04151954−0935066,18.6,30,0.95
50,50,SDSSp J042348.57-041403.5 [de],50.0,,
51,51,2MASS J04285096-2253227 [de],85.0,80,1.09
52,52,2MASS J04351612-1606574,34.0,100,1.26
53,53,2MASS J04362788-4114465,142.0,39,1.97
54,54,2MASS J04390101-2353083 [de],29.5,48,0.97
55,55,2MASS J04414489+2301513,470.0,19,
56,56,2MASS J04433764+0002040,82.0,22,1.78
57,57,2MASS J04455387-3048204 [de],42.0,64,1.0
58,58,2MASS J04510093-3402150 [de],69.0,1.04,72.0
59,59,2MASS J05002100+0330501 [de],44.0,64,1.0
60,60,2MASS J05012406-0010452 [de],64.0,21,1.38
61,61,2MASS J05160945-0445499 [de],73.0,47,0.97
62,62,2MASS J0523−1403,40.0,68,1.01
63,63,2MASS 0532+8246,81.0,83,
64,64,SDSS J053951.99-005902.0,41.62,61,1.01
65,65,2MASS J05591914-1404488 [de],34.0,,
66,66,LSR 0602+3910 [de],34.6,28,1.41
67,67,2MASS J06085283-2753583,102.0,38,1.51
68,68,WISEP J061135.13-041024.0A,69.0,65,
69,69,WISEP J061135.13-041024.0B,69.0,53,
70,70,2MASS J06244595-4521548 [de],39.0,56,0.99
71,71,2MASS J06411840-4322329 [de],65.0,67,1.01
72,72,DENIS-P J0652197-253450 [de],51.0,75,1.05
73,73,2MASS J07003664+3157266 [de],40.0,,
74,74,2MASS J07075327-4900503,60.0,72,1.03
75,75,UGPS J072227.51-054031.2,13.4,26,0.98
76,76,2MASSI J0727182+171001 [de],29.6,41,0.94
77,77,2MASS J07290002-3954043 [de],25.8,37,0.94
78,78,SDSS J074201.41+205520.5 [de],49.0,43,0.94
79,79,2MASS J0746425+200032 [fr],49.6,,
80,80,DENIS-P J0751164-253043 [de],55.0,71,1.03
81,81,2MASS J07522390+1612157,60.0,2.01,68.0
82,82,DENIS J081730.0-615520,16.1,44,0.94
83,83,DENIS J082303.1−491201A,67.0,44,
84,84,DENIS J082303.1−491201B,67.0,28,
85,85,2MASS J08251968+2115521 [de],35.0,52,0.98
86,86,SDSSp J083008.12+482847.4 [de],43.0,48,0.99
87,87,LHS 2021,55.0,88,1.15
88,88,SDSS J083048.80+012831.1 [de],77.0,46,0.96
89,89,2MASSI J0835425-081923 [de],23.53,62,1.0
90,90,2MASSI J0847287-153237 [de],43.0,64,1.0
91,91,2MASS J08533619-0329321,27.6,77,1.07
92,92,2MASSI J0859254-194926 [de],50.0,50,0.98
93,93,2MASSW J0920122+351742 [de],95.0,,
94,94,2MASSI J0937347+293142,20.0,42,0.94
95,95,2MASS 0939−2448,17.4,32,0.95
96,96,2MASS J09490860-1545485 [de],59.0,49,0.96
97,97,2MASS J10073369-4555147,46.0,44,0.94
98,98,2MASSI J1010148-040649 [de],55.0,51,0.98
99,99,2MASSI J1017075+130839 [de],108.0,,
100,100,SDSS J102109.69-030420.1,95.0,,
101,101,2MASS J10224821+5825453 [de],60.0,27,1.41
102,102,2MASSW J1036530-344138 [de],53.0,49,0.97
103,103,2MASS J1047538+212423 [de],34.4,42,0.94
104,104,DEN 1048-3956,13.15,77,1.07
105,105,Luhman 16B,6.516,43,1.02
106,106,Luhman 16A,6.516,40,1.01
107,107,DENIS-P J1058.7−1548,49.0,64,1.0
108,108,TWA 28,180.0,36,2.39
109,109,Cha 110913-773444,163.0,8,1.8
110,110,OTS 44,554.0,15,
111,111,SDSS J111010.01+011613.1,63.0,9,1.24
112,112,2MASS J11145133−2618235,18.2,33,0.96
113,113,TWA 26,137.0,30,2.2
114,114,2MASSW J1146345+223053,89.0,,
115,115,2MASS J11544223-3400390 [de],129.0,37,1.5
116,116,2MASSW J1155395-372735 [de],31.0,64,1.0
117,117,TWA 27A,,,
118,118,TWA 27B,,,
119,119,2MASS J12074836-3900043,217.0,17,1.71
120,120,2MASSI J1217110-031113 [de],36.0,42,0.94
121,121,2MASS J12255432-2739466,43.0,,
122,122,DENIS-P J1228.2-1547,66.0,,
123,123,2M 1237+6526,45.6,41,0.94
124,124,2MASSW J1239272+551537 [de],119.0,,
125,125,TWA 29,262.0,2,25.0
126,126,SDSSp J125453.90-012247.4 [de],38.0,47,0.98
127,127,Kelu-1A,61.0,63,0.98
128,128,Kelu-1B,61.0,58,0.98
129,129,2MASS J13204427+0409045,101.0,67,1.01
130,130,SDSSp J132629.82-003831.5 [de],65.0,51,0.97
131,131,SDSSp J134646.45-003150.4 [de],48.0,44,0.94
132,132,2MASS J13595510-4034582,51.0,63,1.0
133,133,ULAS J141623.94+134836.3,29.7,32,0.96
134,134,SDSS J141659.78+500626.4 [de],149.0,59,0.99
135,135,DENIS-P J142527.97-365023.4 [de],38.0,21,1.32
136,136,LHS 2924,38.5,76,1.06
137,137,2MASS J14392837+1929150,47.0,72,1.03
138,138,LSPM J1440+1339,72.0,92,1.19
139,139,2MASS J14482563+1031590 [de],47.0,59,0.99
140,140,CFBDSIR 1458+10A,104.0,11.1,1.5
141,141,CFBDSIR 1458+10B,104.0,9,1.3
142,142,TVLM 513-46546,35.1,75,1.05
143,143,2MASS 1503+2525,20.7,44,0.94
144,144,CFBDS J150411+102717,71.0,44,0.94
145,145,2MASSW J1506544+132106 [de],46.0,69,1.02
146,146,2MASS 1507−1627,23.9,60,0.99
147,147,TVLM 868-110639,53.0,79,1.08
148,148,SDSS J151114.66+060742.9 [de],89.0,,
149,149,2MASSW J1515008+484742 [de],34.0,57,0.99
150,150,2MASSI J1526140+204341 [de],67.0,54,0.98
151,151,DENIS-P J153941.96-052042.4 [de],51.0,63,1.0
152,152,2MASS J15462718-3325111 [de],37.0,44,0.94
153,153,2MASSW J1552591+294849 [de],68.0,30,1.43
154,154,2MASSW J1555157-095605 [de],44.0,71,1.03
155,155,2MASS J16150413+1340079 [de],48.0,42,0.94
156,156,SDSSp J162414.37+002915.6 [de],36.0,43,0.94
157,157,2MASS J16262034+3925190 [de],110.0,71,1.03
158,158,2MASSW J1632291+190441 [de],50.0,49,0.97
159,159,WISEPA J164715.59+563208.2,28.0,41,0.94
160,160,LSPM J1658+7027 [de],60.0,73,1.04
161,161,2MASSI J1726000+153819,114.0,24,1.4
162,162,2MASSW J1728114+394859,79.0,,
163,163,SDSSp J175032.96+175903.9,90.0,47,0.97
164,164,2MASS J18283572-4849046,39.0,45,0.95
165,165,LSR J1835+3259,18.5,77,1.07
166,166,2MASSW J1841086+311727,138.0,67,1.01
167,167,2MASS J18432213+4040209,46.0,96,1.22
168,168,2MASS J20004841-7523070,105.0,25,1.88
169,169,SDSS J204749.61-071818.3,65.0,46,0.96
170,170,2MASSI J2057540-025230,47.0,70,1.02
171,171,2MASSW J2101154+175658,108.0,,
172,172,2MASSI J2104149-103736,62.0,69,1.02
173,173,PSO J318.5−22,80.0,6.5,1.53
174,174,HB 2124-4228,113.0,94,1.21
175,175,2MASS J21392676+0220226,32.1,46,0.96
176,176,2MASS J21481628+4003593,26.3,55,0.99
177,177,2MASS J14112131-2119503,,,
178,178,2MASSW J2206450-421721,93.0,22,1.33
179,179,2MASSW J2208136+292121,154.0,27,1.41
180,180,2MASSW J2224438-015852,38.0,61,0.99
181,181,2MASS J22282889-4310262,35.0,42,0.94
182,182,2MASS J22373255+3922398,64.0,73,1.04
183,183,2MASSW J2244316+204343,56.0,12,1.29
184,184,2MASS J23224684-3133231,56.0,24,1.39
185,185,2MASS J23225299-6151275,148.0,17,1.59
186,186,2MASS J23515044-2537367,67.0,88,1.16
187,187,2MASSI J2356547-155310,74.0,80,1.09
188,188,WISE 0005+3737,23.2,,
189,189,WISE 0008-1739,87.1,,
190,190,WISE 0015-4615,48.6,,
191,191,WISE 0031-3840,71.8,,
192,192,WISE 0032-4946,62.9,,
193,193,WISE 0038+2758,36.9,,
194,194,WISE 0038+8405,101.8,,
195,195,WISE 0040+0900,47.6,,
196,196,WISE 0049+0441,62.6,,
197,197,WISE 0049+2151,24.1,,
198,198,WISE 0106+1518,142.9,,
199,199,WISE 0123+4142,67.2,,
200,200,WISE 0135+1715,77.3,,
201,201,WISE 0138-0322,57.7,,
202,202,WISE 0146+4234,20.5,,
203,203,WISE 0148-7202,30.0,,
204,204,WISE 0150+3827,61.3,,
205,205,WISE 0206+2640,58.4,,
206,206,WISE 0221+3842,73.1,,
207,207,WISE 0223-2932,47.0,,
208,208,WISE 0226-0211,91.0,,
209,209,WISE 0241-3653,53.8,,
210,210,WISE 0245-3450,56.1,,
211,211,WISE 0247+3725,57.1,,
212,212,WISE 0305+3954,75.0,,
213,213,WISE 0307+2904,82.8,,
214,214,WISE 0313+7807,28.0,,
215,215,WISE 0316+4307,106.3,,
216,216,WISE 0321-7347,84.8,,
217,217,WISE 0323-6025,45.3,,
218,218,WISE 0325-3854,51.2,,
219,219,WISE 0325+0831,36.5,,
220,220,WISE 0333-5856,54.8,,
221,221,WISE 0335+4310,45.7,,
222,222,WISE 0336-0143,55.4,,
223,223,WISE 0350-5658,17.7,,
224,224,WISE 0359-5401,19.2,,
225,225,WISE 0410+1502,20.0,6,1.17
226,226,WISE 0410+1411,85.8,,
227,227,WISE 0413-4750,66.2,,
228,228,WISE 0448-1935,69.8,,
229,229,WISE 0458+6434A,35.9,15,4.2
230,230,WISE 0458+6434B,35.9,10,3.8
231,231,WISE 0500-1223,47.0,,
232,232,WISE 0513+0608,44.7,,
233,233,WISE 0525+6739,98.2,,
234,234,WISE 0528-3308,57.4,,
235,235,WISE 0535-7500,47.0,,
236,236,WISE 0539-1034,84.8,,
237,237,WISE 0542-1628,50.6,,
238,238,WISE 0607+2429,25.4,,
239,239,WISE 0611-0410,57.7,,
240,240,WISE 0612-4920,95.2,,
241,241,WISE 0612-3036,64.9,,
242,242,WISE 0614+3912,50.2,,
243,243,WISE 0614+0951,51.5,,
244,244,WISE 0623-0456,37.5,,
245,245,WISE 0625+5646,67.2,,
246,246,WISE 0627-1114,37.2,,
247,247,WISE 0647-6232,28.0,,
248,248,WISE 0656+4205,54.1,,
249,249,WISE 0713-2917,23.2,,
250,250,WISE 0723+3403,45.7,,
251,251,WISE 0733+7544,78.3,,
252,252,WISE 0734-7157,34.9,,
253,253,WISE 0744+5628,47.3,,
254,254,WISE 0750+2725,51.5,,
255,255,WISE 0751-7634,39.1,,
256,256,WISE 0759-4904,38.8,,
257,257,WISE 0811-8051,32.0,,
258,258,WISE 0812+4021,63.6,,
259,259,WISE 0819-0335,46.0,,
260,260,WISE 0821+1443,68.2,,
261,261,WISE 0836-1859,72.4,,
262,262,WISE 0857+5604,42.1,,
263,263,WISE 0906+4735,51.5,,
264,264,WISE 0929+0409,64.9,,
265,265,WISE 0952+1955,72.1,,
266,266,WISE 1018-2445,47.6,,
267,267,WISE 1019+6529,56.8,,
268,268,WISE 1039-1600,47.3,,
269,269,WISE 1042-3842,53.2,,
270,270,WISE 1051-2138,40.8,,
271,271,WISE 1122+2550,57.7,,
272,272,WISE 1124-0421,50.6,,
273,273,WISE 1147-2040,102.0,,
274,274,WISE 1150+6302,32.9,,
275,275,WISE 1217+1626A,34.2,12,
276,276,WISE 1217+1626B,34.2,6,
277,277,WISE 1225-1013,55.4,,
278,278,WISE 1311+0122,44.4,,
279,279,WISE 1311+3629,86.1,,
280,280,WISE 1318-1758,32.9,,
281,281,WISE 1320+6034,56.1,,
282,282,WISE 1322-2340,33.9,,
283,283,WISE 1348+6603,91.0,,
284,284,WISE 1405+5534,25.3,30,0.86
285,285,WISE 1433-0837,84.8,,
286,286,WISE 1436-1814,60.0,,
287,287,WISE 1457+5815,52.2,,
288,288,WISE 1506+7027,11.1,,
289,289,WISE 1517+0529,72.4,,
290,290,WISE 1519+7009,50.9,,
291,291,WISE 1523+3125,84.5,,
292,292,WISE 1541-2250,20.0,,
293,293,WISE 1542+2230,41.1,,
294,294,WISE 1612-3420,55.4,,
295,295,WISE 1614+1739,32.6,,
296,296,WISE 1617+1807,50.2,,
297,297,WISE 1622-0959,52.2,,
298,298,WISE 1627+3255,50.2,,
299,299,WISE 1639-6847,16.3,,
300,300,WISE 1647+5632,28.0,,
301,301,WISE 1653+4444,39.5,,
302,302,WISE 1711+3500,60.3,,
303,303,WISE 1717+6129,72.7,,
304,304,WISE 1721+1117,62.3,,
305,305,WISE 1728+5716,97.8,,
306,306,WISE 1738+2732,20.0,,
307,307,WISE 1741+2553,18.9,,
308,308,WISE 1746-0338,83.8,,
309,309,WISE 1800+0134,28.7,57,
310,310,WISE 1804+3117,30.0,,
311,311,WISE 1809+3838,74.4,,
312,312,WISE 1812+2721,47.0,,
313,313,WISE 1828+2650,36.0,,
314,314,WISE 1830+4542,107.0,,
315,315,WISE 1841+7000,131.1,,
316,316,WISE 1852+3537,55.4,,
317,317,WISE 1906+4508,51.5,,
318,318,WISE 1928+2356,22.8,,
319,319,WISE 1952+7240,44.4,,
320,320,WISE 1959-3338,37.2,,
321,321,WISE 2030+0749,34.2,,
322,322,WISE 2014+0424,96.2,,
323,323,WISE 2015+6646,50.6,,
324,324,WISE 2018-7423,47.9,,
325,325,WISE 2019-1148,42.4,,
326,326,WISE 2056+1459,24.5,,
327,327,WISE 2134-7137,42.7,,
328,328,WISE 2157+2659,61.6,,
329,329,WISE 2209-2734,46.0,,
330,330,WISE 2213+0911,58.7,,
331,331,WISE 2220-3628,26.4,,
332,332,WISE 2226+0440,45.0,,
333,333,WISE 2237-0614,53.5,,
334,334,WISE 2237+7228,46.0,,
335,335,WISE 2239+1617,59.7,,
336,336,WISE 2255-3118,44.7,,
337,337,WISE 2301+0216,60.7,,
338,338,WISE 2313-8037,35.9,,
339,339,WISE 2319-1844,52.2,,
340,340,WISE 2325-4105,37.5,,
341,341,WISE 2327-2730,70.8,,
342,342,WISE 2335+4222,90.3,,
343,343,WISE 2340-0745,37.8,,
344,344,WISE 2342+0856,51.2,,
345,345,WISE 2343-7418,48.6,,
346,346,WISE 2344+1034,46.0,,
347,347,WISE 2348-1028,54.1,,
348,348,WISE 2357+1227,54.8,,
349,349,WISE 2359-7335,42.7,,
350,350,WISEA 1101+5400,111.0,,
351,351,2M1510,120.0,40 + 39 + ?,
